#test case: AGB models
#description                       mass             Z   remnantmass
[evmodels]
5
m1.25_pmz2e-3                      1.20      1.60e-03          0.65
m2.5_pmz2e-3                       2.50      1.60e-03          0.68
m3.5_pmz1e-3                       3.50      1.60e-03          0.84
m5.0_nopmz                         5.00      1.60e-03          0.92
m6.5_nopmz                         6.50      1.60e-03          1.05

#species      type m1.25_pmz2e-3  m2.5_pmz2e-3  m3.5_pmz1e-3    m5.0_nopmz    m6.5_nopmz
[yields]
tm170     absolute  0.000000e+00 -7.984599e-42  1.850290e-25 -5.327991e-21 -9.140283e-19
tm171     absolute  0.000000e+00  8.696050e-29 -7.221463e-19 -1.802930e-16 -4.408831e-16
yb170     absolute  5.168710e-12  2.994380e-10  1.987382e-10  3.052463e-11  1.958635e-11
yb171     absolute  1.562131e-11  4.219451e-10  3.276325e-10  9.793859e-11  9.645366e-11
yb172     absolute  2.913681e-11  1.194423e-09  8.235986e-10  1.826657e-10  1.562030e-10
yb173     absolute  1.724788e-11  5.482991e-10  3.983597e-10  1.100242e-10  1.063441e-10
yb174     absolute  5.085497e-11  2.367769e-09  1.714830e-09  3.089167e-10  2.322111e-10
lu175     absolute  1.414369e-11  3.288986e-10  2.580625e-10  8.820304e-11  9.421055e-11
lu176     absolute  3.739453e-12  2.259066e-10  1.635455e-10  2.283706e-11  1.293533e-11
lu177     absolute  0.000000e+00  0.000000e+00  2.289516e-39  7.870861e-31  1.594299e-29
hf176     absolute  9.198520e-13  2.613493e-12  3.921287e-12  5.774560e-12  7.823173e-12
hf177     absolute  1.131213e-11  2.636519e-10  2.113528e-10  7.070038e-11  7.546590e-11
hf178     absolute  2.717210e-11  1.159609e-09  8.580207e-10  1.598990e-10  1.271145e-10
hf179     absolute  1.158610e-11  4.075447e-10  3.106528e-10  6.977251e-11  6.223308e-11
hf180     absolute  4.728102e-11  2.225875e-09  1.656506e-09  2.612872e-10  1.785680e-10
ta181     absolute  1.241411e-11  4.498300e-10  3.459277e-10  7.200656e-11  6.146189e-11
ta182     absolute  0.000000e+00 -5.444045e-42  2.009065e-25 -1.954764e-21 -7.763798e-19
ta183     absolute  0.000000e+00  0.000000e+00  0.000000e+00  7.836870e-39 -1.195116e-34
